"NAME","FULLNAME","POPULATION2010","NRLANGUAGES2010","COLOR","tooltip","POPULATION2011"
"TZA","Tanzania",2196.212195,0,"#0050ff","Tanzania
Exports: 2196.212195",1348.86257827008
"ZWE","Zimbabwe",1848.602008,7.79465e-08,"#0050ff","Zimbabwe
Exports: 1848.602008",1135.36846593556
"BRB","Barbados",1774.632844,0,"#0050ff","Barbados
Exports: 1774.632844",1089.93832148382
"GIB","Gibraltar",1592.464898,0,"#0050ff","Gibraltar
Exports: 1592.464898",978.054995328391
"ISL","Iceland",1572.901629,6.63215e-08,"#0050ff","Iceland
Exports: 1572.901629",966.039689374436
"ZMB","Zambia",1329.292822,5.60497e-08,"#0050ff","Zambia
Exports: 1329.292822",816.420811814511
"GUM","Guam",1220.220253,0,"#0050ff","Guam
Exports: 1220.220253",749.430970407187
"SLV","El Salvador",1064.358437,0,"#0050ff","El Salvador
Exports: 1064.358437",653.704258998221
"CMR","Cameroon",997.5945628,4.20637e-08,"#0050ff","Cameroon
Exports: 997.5945628",612.699436379653
"MOZ","Mozambique",985.6485073,4.156e-08,"#0050ff","Mozambique
Exports: 985.6485073",605.362446238822
"BWA","Botswana",860.1286912,0,"#0050ff","Botswana
Exports: 860.1286912",528.271087237133
"UZB","Uzbekistan",688.5565903,0,"#0050ff","Uzbekistan
Exports: 688.5565903",422.895483319595
"GIN","Guinea",548.4764434,2.31266e-08,"#0050ff","Guinea
Exports: 548.4764434",336.861506938735
"GUY","Guyana",408.61159,0,"#0050ff","Guyana
Exports: 408.61159",250.959758830789
"PLW","Palau",381.480017,0,"#0050ff","Palau
Exports: 381.480017",234.296176143915
"MLI","Mali",284.4578725,0,"#0050ff","Mali
Exports: 284.4578725",174.707425895871
"NIC","Nicaragua",244.1722372,0,"#0050ff","Nicaragua
Exports: 244.1722372",149.964923317241
"SPM","Saint Pierre and Miquelon",230.3586901,0,"#0050ff","Saint Pierre and Miquelon
Exports: 230.3586901",141.480963161305
"CPV","Cabo Verde",219.9195745,0,"#0050ff","Cabo Verde
Exports: 219.9195745",135.069500546202
